org,aft
http://dbpedia.org/resource/Sarmatians,http://dbpedia.org/resource/Sarmatians
http://dbpedia.org/resource/Turkey,http://dbpedia.org/resource/Turkey
http://dbpedia.org/resource/Ministry_of_the_Army,http://dbpedia.org/resource/Ministry_of_the_Army
http://dbpedia.org/resource/Yijing_(monk),http://dbpedia.org/resource/Yijing_(monk)
http://ja.dbpedia.org/resource/実叉難陀,http://ja.dbpedia.org/resource/実叉難陀
http://dbpedia.org/resource/Shōwa_period,http://dbpedia.org/resource/Shōwa_period
http://dbpedia.org/resource/France,http://dbpedia.org/resource/France
http://de.dbpedia.org/resource/Aruga_Nagao,http://de.dbpedia.org/resource/Aruga_Nagao
http://dbpedia.org/resource/April_21,http://dbpedia.org/resource/April_21
http://ja.dbpedia.org/resource/芝区,http://ja.dbpedia.org/resource/芝区
http://dbpedia.org/resource/China,http://dbpedia.org/resource/China
http://ja.dbpedia.org/resource/日本中国友好協会,http://ja.dbpedia.org/resource/日本中国友好協会
http://ja.dbpedia.org/resource/柴田常恵,http://ja.dbpedia.org/resource/柴田常恵
http://ja.dbpedia.org/resource/橋本綱常,http://ja.dbpedia.org/resource/橋本綱常
http://dbpedia.org/resource/Yamakawa_Kenjirō,http://dbpedia.org/resource/Yamakawa_Kenjirō
http://dbpedia.org/resource/London,http://dbpedia.org/resource/London
http://dbpedia.org/resource/Takaoka_Domain,http://dbpedia.org/resource/Takaoka_Domain
http://ja.dbpedia.org/resource/田中芳夫,http://ja.dbpedia.org/resource/田中芳夫
http://dbpedia.org/resource/Shiroshi_Nasu,http://dbpedia.org/resource/Shiroshi_Nasu
http://dbpedia.org/resource/BCG_vaccine,http://dbpedia.org/resource/BCG_vaccine
http://dbpedia.org/resource/April_24,http://dbpedia.org/resource/April_24
"http://dbpedia.org/resource/Kameoka,_Kyoto","http://dbpedia.org/resource/Kameoka,_Kyoto"
http://ja.dbpedia.org/resource/大坂町_(名古屋市),http://ja.dbpedia.org/resource/大坂町_(名古屋市)
http://dbpedia.org/resource/Taishō_period,http://dbpedia.org/resource/Taishō_period
http://dbpedia.org/resource/Tokyo_Nichi_Nichi_Shimbun,http://dbpedia.org/resource/Tokyo_Nichi_Nichi_Shimbun
http://dbpedia.org/resource/Tottori_Prefecture,http://dbpedia.org/resource/Tottori_Prefecture
http://ja.dbpedia.org/resource/文京ふるさと歴史館,http://ja.dbpedia.org/resource/文京ふるさと歴史館
http://dbpedia.org/resource/Asia,http://dbpedia.org/resource/Asia
http://dbpedia.org/resource/Association_of_Southeast_Asian_Nations,http://dbpedia.org/resource/Association_of_Southeast_Asian_Nations
http://dbpedia.org/resource/Japan_Baptist_Convention,http://dbpedia.org/resource/Japan_Baptist_Convention
http://dbpedia.org/resource/Hokuriku_region,http://dbpedia.org/resource/Hokuriku_region
http://ru.dbpedia.org/resource/Ватанабэ_Хиромото,http://ru.dbpedia.org/resource/Ватанабэ_Хиромото
http://dbpedia.org/resource/Beijing,http://dbpedia.org/resource/Beijing
http://dbpedia.org/resource/North_Vietnam,http://dbpedia.org/resource/North_Vietnam
http://ja.dbpedia.org/resource/徳川武定,http://ja.dbpedia.org/resource/徳川武定
http://dbpedia.org/resource/Microsoft_Excel,http://dbpedia.org/resource/Microsoft_Excel
http://dbpedia.org/resource/Xinjiang,http://dbpedia.org/resource/Xinjiang
http://dbpedia.org/resource/Dan_Takuma,http://dbpedia.org/resource/Dan_Takuma
http://ja.dbpedia.org/resource/東京朝日新聞,http://ja.dbpedia.org/resource/東京朝日新聞
http://ja.dbpedia.org/resource/山田_(伊勢市),http://ja.dbpedia.org/resource/山田_(伊勢市)
http://dbpedia.org/resource/Japanese_Communist_Party,http://dbpedia.org/resource/Japanese_Communist_Party
http://dbpedia.org/resource/Ashikaga_Gakkō,http://dbpedia.org/resource/Ashikaga_Gakkō
http://dbpedia.org/resource/United_Kingdom,http://dbpedia.org/resource/United_Kingdom
http://ja.dbpedia.org/resource/日本大学松戸歯学部・大学院松戸歯学研究科,http://ja.dbpedia.org/resource/日本大学松戸歯学部・大学院松戸歯学研究科
http://dbpedia.org/resource/Gaijiro_Fujishima,http://dbpedia.org/resource/Gaijiro_Fujishima
http://dbpedia.org/resource/Tokyo_Prefecture,http://dbpedia.org/resource/Tokyo_Prefecture
http://dbpedia.org/resource/1923_Great_Kantō_earthquake,http://dbpedia.org/resource/1923_Great_Kantō_earthquake
http://ja.dbpedia.org/resource/駅逓司,http://ja.dbpedia.org/resource/駅逓司
http://dbpedia.org/resource/Shanghai,http://dbpedia.org/resource/Shanghai
http://dbpedia.org/resource/Hisaakira_Hijikata,http://dbpedia.org/resource/Hisaakira_Hijikata
"http://dbpedia.org/resource/Ministry_of_Education,_Science,_Sports_and_Culture","http://dbpedia.org/resource/Ministry_of_Education,_Science,_Sports_and_Culture"
http://ja.dbpedia.org/resource/高千穂宣麿,http://ja.dbpedia.org/resource/高千穂宣麿
http://ja.dbpedia.org/resource/親展,http://ja.dbpedia.org/resource/親展
http://dbpedia.org/resource/Narushima_Ryūhoku,http://dbpedia.org/resource/Narushima_Ryūhoku
http://dbpedia.org/resource/Japanese_battleship_Kongō,http://dbpedia.org/resource/Japanese_battleship_Kongō
http://ja.dbpedia.org/resource/小松彰,http://ja.dbpedia.org/resource/小松彰
http://ja.dbpedia.org/resource/東大紛争,http://ja.dbpedia.org/resource/東大紛争
