word,cnt
-,13
2,9
C,4
19,4
/,4
週刊,3
朝日,3
日,3
号,3
3,3
情報,3
資料,3
四月,2
二,2
図書,2
室,2
社会,2
研究,2
センター,2
新聞,2
移管,2
昭和,2
4,2
福重,2
旨,2
乃,2
雑誌,2
.,2
発行,2
三,2
兼,2
0002,2
∽,1
アイテム,1
東京大学,1
大学院,1
学,1
環,1
附属,1
1970,1
年代,1
後半,1
小野,1
秀雄,1
邸,1
旧,1
研究所,1
2007,1
年,1
以降,1
貴重,1
保存,1
スペース,1
1,1
257,1
183,1
or,1
02,1
刊行,1
類,1
139,1
76642860000004,1
",",1
35,1
6643177,1
月,1
所,1
大阪,1
市,1
北,1
区,1
中之島,1
丁目,1
番地,1
株式会社,1
朝日新聞社,1
編輯,1
印刷,1
人,1
樋口,1
正徳,1
ja,1
戦中,1
完成,1
公刊,1
形態,1
冊子,1
綴,1
ケース,1
対象,1
外,1
付箋,1
0003,1
0019,1
