word,cnt
_,8
2,6
情報,4
/,4
-,4
諏訪,3
5,3
14,3
4,3
増補,2
訂正,2
明細,2
地,2
圖,2
東京大学,2
大学院,2
学,2
環,2
図書,2
室,2
土田,2
紙,2
地図,2
0002,2
∽,1
アイテム,1
附属,1
社会,1
研究,1
資料,1
センター,1
2004,1
平成,1
16,1
年,1
旧,1
坪井,1
誠,1
太郎,1
邸,1
学際,1
学府,1
移管,1
明治,1
41,1
12,1
25,1
396,1
540,1
反,1
180,1
二つ,1
以上,1
他,1
その他,1
印刷,1
13,1
絵画,1
版画,1
ポスター,1
図案,1
書画,1
地方,1
縮尺,1
10,1
万,1
分の,1
1,1
上諏訪,1
市街,1
拡大,1
図,1
ja,1
単,1
単体,1
2005,1
01,1
11,1
0005,1
0014,1
0004,1
